mem,eff,w4_kvq4,w4_fp16,int8_kvq4,int8_fp16
LPDDR5X x32 (34.1 GB/s),0.65,6.02561146399019,5.8912198022167885,3.1218644920027456,3.0853982300793636
LPDDR5X x32 (34.1 GB/s),0.7,6.488741082165273,6.3440283152934756,3.3619061896675384,3.3226371932375205
LPDDR5X x32 (34.1 GB/s),0.75,6.9518166111918545,6.796785123981779,3.601933361813788,3.559861968157911
LPDDR5X x64 (68.3 GB/s),0.65,12.042080254979208,11.773700061110459,6.241273948153518,6.168398432492367
LPDDR5X x64 (68.3 GB/s),0.7,12.966880684173773,12.677922564021568,6.72096537719221,6.642493491387821
LPDDR5X x64 (68.3 GB/s),0.75,13.89146528657295,13.581938744542626,7.200598777930206,7.116531868551673
LPDDR5X x128 (136.5 GB/s),0.65,24.047672925037507,23.512519623650956,12.472739327645538,12.327215928379122
LPDDR5X x128 (136.5 GB/s),0.7,25.89145920410546,25.315405836928587,13.430557199332846,13.273877355639161
LPDDR5X x128 (136.5 GB/s),0.75,27.734386393651093,27.117470703009854,14.388143546506866,14.220312624298925
